"ID";"BedrijfstakkenWoningen";"RegioS";"Perioden";"AantalInstallaties_1";"OpgesteldVermogenVanZonnepanelen_2"
"80";"E007161";"PV25  ";"2015JJ00";"   44862";"  192066"
"81";"E007161";"PV25  ";"2016JJ00";"   58950";"  270076"
"82";"E007161";"PV25  ";"2017JJ00";"   77614";"  367842"
"83";"E007161";"PV25  ";"2018JJ00";"  107146";"  557812"
"84";"E007161";"PV26  ";"2012JJ00";"    6522";"   19521"
"85";"E007161";"PV26  ";"2013JJ00";"   12714";"   40719"
"86";"E007161";"PV26  ";"2014JJ00";"   17946";"   59679"
"87";"E007161";"PV26  ";"2015JJ00";"   23938";"   86571"
"88";"E007161";"PV26  ";"2016JJ00";"   29881";"  113275"
"89";"E007161";"PV26  ";"2017JJ00";"   39978";"  165197"
"90";"E007161";"PV26  ";"2018JJ00";"   53253";"  251564"
"91";"E007161";"PV27  ";"2012JJ00";"   10940";"   32813"
"92";"E007161";"PV27  ";"2013JJ00";"   23145";"   72438"
"93";"E007161";"PV27  ";"2014JJ00";"   33248";"  112049"
"94";"E007161";"PV27  ";"2015JJ00";"   44678";"  162467"
"95";"E007161";"PV27  ";"2016JJ00";"   56047";"  232196"
"96";"E007161";"PV27  ";"2017JJ00";"   72360";"  312892"
"97";"E007161";"PV27  ";"2018JJ00";"   97409";"  493264"
"98";"E007161";"PV28  ";"2012JJ00";"   13715";"   30660"
"99";"E007161";"PV28  ";"2013JJ00";"   24486";"   70391"
"100";"E007161";"PV28  ";"2014JJ00";"   36438";"  117467"
"101";"E007161";"PV28  ";"2015JJ00";"   47755";"  169686"
"102";"E007161";"PV28  ";"2016JJ00";"   59093";"  229118"
"103";"E007161";"PV28  ";"2017JJ00";"   77190";"  317332"
"104";"E007161";"PV28  ";"2018JJ00";"  102698";"  502318"
"105";"E007161";"PV29  ";"2012JJ00";"    2121";"    7782"
"106";"E007161";"PV29  ";"2013JJ00";"    5158";"   21612"
"107";"E007161";"PV29  ";"2014JJ00";"    9666";"   39254"
"108";"E007161";"PV29  ";"2015JJ00";"   13713";"   57384"
"109";"E007161";"PV29  ";"2016JJ00";"   19884";"   79030"
"110";"E007161";"PV29  ";"2017JJ00";"   25884";"  103430"
"111";"E007161";"PV29  ";"2018JJ00";"   32619";"  222797"
"112";"E007161";"PV30  ";"2012JJ00";"    9993";"   43472"
"113";"E007161";"PV30  ";"2013JJ00";"   22617";"  104077"
"114";"E007161";"PV30  ";"2014JJ00";"   32823";"  158874"
"115";"E007161";"PV30  ";"2015JJ00";"   43860";"  232076"
"116";"E007161";"PV30  ";"2016JJ00";"   55548";"  312845"
"117";"E007161";"PV30  ";"2017JJ00";"   75041";"  434365"
"118";"E007161";"PV30  ";"2018JJ00";"  104353";"  717231"
"119";"E007161";"PV31  ";"2012JJ00";"    8041";"   30592"
"120";"E007161";"PV31  ";"2013JJ00";"   14798";"   58317"
"121";"E007161";"PV31  ";"2014JJ00";"   19543";"   81649"
"122";"E007161";"PV31  ";"2015JJ00";"   29216";"  140734"
"123";"E007161";"PV31  ";"2016JJ00";"   38853";"  195922"
"124";"E007161";"PV31  ";"2017JJ00";"   53450";"  264761"
"125";"E007161";"PV31  ";"2018JJ00";"   70666";"  367177"
"126";"E007161";"PV99  ";"2012JJ00";"      11";"      57"
"127";"E007161";"PV99  ";"2013JJ00";"      15";"     129"
"128";"E007161";"PV99  ";"2014JJ00";"      95";"     304"
"129";"E007161";"PV99  ";"2015JJ00";"     176";"     516"
"130";"E007161";"PV99  ";"2016JJ00";"     216";"     588"
"131";"E007161";"PV99  ";"2017JJ00";"       2";"      28"
"132";"E007161";"PV99  ";"2018JJ00";"     308";"     958"
"133";"E007161";"GM1680";"2012JJ00";"     318";"    1966"
"134";"E007161";"GM1680";"2013JJ00";"     636";"    3644"
"135";"E007161";"GM1680";"2014JJ00";"     943";"    5170"
"136";"E007161";"GM1680";"2015JJ00";"    1245";"    6657"
"137";"E007161";"GM1680";"2016JJ00";"    1458";"    8689"
"138";"E007161";"GM1680";"2017JJ00";"    1789";"   10595"
"139";"E007161";"GM1680";"2018JJ00";"    2281";"   15434"
"140";"E007161";"GM0738";"2012JJ00";"      37";"     270"
"141";"E007161";"GM0738";"2013JJ00";"      85";"     483"
"142";"E007161";"GM0738";"2014JJ00";"     120";"     761"
"143";"E007161";"GM0738";"2015JJ00";"     154";"     902"
"144";"E007161";"GM0738";"2016JJ00";"     191";"    1109"
"145";"E007161";"GM0738";"2017JJ00";"     262";"    1417"
"146";"E007161";"GM0738";"2018JJ00";"     405";"    2652"
"147";"E007161";"GM0358";"2012JJ00";"     121";"     341"
"148";"E007161";"GM0358";"2013JJ00";"     369";"    1267"
"149";"E007161";"GM0358";"2014JJ00";"     502";"    1769"
"150";"E007161";"GM0358";"2015JJ00";"     644";"    2682"
"151";"E007161";"GM0358";"2016JJ00";"     810";"    3835"
"152";"E007161";"GM0358";"2017JJ00";"     939";"    4973"
"153";"E007161";"GM0358";"2018JJ00";"    1293";"    8296"
"154";"E007161";"GM0197";"2012JJ00";"     198";"     713"
"155";"E007161";"GM0197";"2013JJ00";"     477";"    2108"
"156";"E007161";"GM0197";"2014JJ00";"     636";"    2854"
"157";"E007161";"GM0197";"2015JJ00";"     854";"    4042"
"158";"E007161";"GM0197";"2016JJ00";"    1148";"    5495"
"159";"E007161";"GM0197";"2017JJ00";"    1421";"    7001"
"160";"E007161";"GM0197";"2018JJ00";"    1846";"    9439"
"161";"E007161";"GM0059";"2012JJ00";"     202";"     737"
"162";"E007161";"GM0059";"2013JJ00";"     406";"    1566"
"163";"E007161";"GM0059";"2014JJ00";"     558";"    2145"
"164";"E007161";"GM0059";"2015JJ00";"     691";"    2804"
"165";"E007161";"GM0059";"2016JJ00";"     850";"    4387"
"166";"E007161";"GM0059";"2017JJ00";"    1046";"    5998"
"167";"E007161";"GM0059";"2018JJ00";"    1523";"   21105"
